Report Received Date,Manufacturer,Subject,Component,Recall Type,Potentially Affected,Park Outside Advisory ,Do Not Drive Advisory
09/22/2023,"Kia America, Inc.",Front Lower Control Arm May Fail,SUSPENSION,Vehicle,3866.0,No,Yes
09/12/2023,Kentucky Trailer Manufacturing,Clutch Overheating May Cause Fire,EQUIPMENT,Vehicle,3.0,No,No
09/06/2023,"Volkswagen Group of America, Inc.",No Warning When Key is Left in Ignition/FMVSS 114,ELECTRICAL SYSTEM,Vehicle,8.0,No,No
08/10/2023,"Chrysler (FCA US, LLC)",Obstructed Center High Mount Brake Light/FMVSS 108,EXTERIOR LIGHTING,Vehicle,16.0,No,No
08/08/2023,Explorer Van Company,Generator Set Fuel Hose May Cause Gas Leak,"FUEL SYSTEM, GASOLINE",Vehicle,8.0,No,No
08/03/2023,Ford Motor Company,Unsecured Transmission May Cause Rollaway,POWER TRAIN,Vehicle,2.0,No,No
07/27/2023,"Altec Industries, Inc.",Power Inverter Missing Circuit Breaker,ELECTRICAL SYSTEM,Vehicle,535.0,No,No
07/17/2023,Adaptive Mobility Systems Inc,Generator Set Fuel Hose May Cause Gas Leak,"FUEL SYSTEM, GASOLINE",Vehicle,34.0,No,No
07/13/2023,Industrial Video & Control Co,Generator Set Fuel Hose May Cause Gas Leak,"FUEL SYSTEM, GASOLINE",Vehicle,4.0,No,No
07/12/2023,Nova Bus (US) Inc.,Power Steering Hose May Detach,STEERING,Vehicle,196.0,No,No
06/28/2023,"ST Engineering Hackney, Inc",Clutch Overheating May Cause Fire,EQUIPMENT,Vehicle,243.0,No,No
06/28/2023,Lion Electric Company,Electrical Short May Cause High Voltage Shutdown,ELECTRICAL SYSTEM,Vehicle,65.0,No,No
06/27/2023,Thor Motor Coach,Bike Rack May Detach,EQUIPMENT,Vehicle,213.0,No,No
06/27/2023,Lion Electric Company,Electrical Short May Cause High Voltage Shutdown,ELECTRICAL SYSTEM,Vehicle,170.0,No,No
06/21/2023,"Volkswagen Group of America, Inc.",Rearview Camera Image May Not Display/FMVSS 111,BACK OVER PREVENTION,Vehicle,4.0,No,No
06/01/2023,"Spartan Fire, LLC",Hoist Rings Assembled Incorrectly,EQUIPMENT,Vehicle,5.0,No,No
05/31/2023,Bugatti,Incorrect Wheels Installed,WHEELS,Vehicle,1.0,No,No
04/18/2023,Nova Bus (US) Inc.,Incorrect Emergency Exit Window/FMVSS 217,STRUCTURE,Vehicle,40.0,No,No
04/07/2023,"Forest River Bus, LLC",Improperly Secured Ceiling Panels/FMVSS 221,STRUCTURE,Vehicle,29.0,No,No
04/06/2023,"Jaguar Land Rover North America, LLC",Incorrect Rear Taillights Installed/FMVSS 108,EXTERIOR LIGHTING,Vehicle,5.0,No,No
04/05/2023,Motor Coach Industries,Loaded Bike Rack Obstructs Rear Lighting/FMVSS 108,EQUIPMENT,Vehicle,140.0,No,No
04/04/2023,Nova Bus (US) Inc.,Taillights May Fail to Illuminate,EXTERIOR LIGHTING,Vehicle,10.0,No,No
03/30/2023,Capacity of Texas,Steer Axle Fasteners May Come Loose,STEERING,Vehicle,53.0,No,No
03/27/2023,Lightning eMotors Inc.,High-Voltage Battery Failure,ELECTRICAL SYSTEM,Vehicle,148.0,No,No
03/23/2023,"Spartan Fire, LLC",Steer Axle Fasteners May Come Loose,STEERING,Vehicle,12.0,No,No
03/20/2023,Prevost Car (US) Inc.,Window Emergency Exit Malfunction/FMVSS 217,STRUCTURE,Vehicle,1.0,No,No
03/07/2023,"Terex Advance Mixer, Inc.",Steer Axle Fasteners Not Tightened Properly,STEERING,Vehicle,20.0,No,No
02/24/2023,Ford Motor Company,Replacement Air Bag Inflator Incorrectly Installed,AIR BAGS,Vehicle,98550.0,No,No
02/17/2023,"Mercedes-Benz USA, LLC",Glass Panel May Detach,VISIBILITY,Vehicle,1.0,No,No
02/13/2023,"Proterra Operating Company, Inc.",Windshield Wiper Motor May Fail,VISIBILITY,Vehicle,274.0,No,No
01/20/2023,"Forest River Bus, LLC",Awning May Extend Unintentionally,EQUIPMENT,Vehicle,17.0,No,No
12/12/2022,East Manufacturing Corp.,Steering Arm May Fracture,STEERING,Vehicle,17.0,No,No
12/08/2022,Hyundai Translead,Loose Brake Pad Retaining Clip May Damage Tire,"SERVICE BRAKES, AIR",Vehicle,39.0,No,No
12/07/2022,Nova Bus (US) Inc.,Non-Standard Color Lighting May Distract Drivers,EXTERIOR LIGHTING,Vehicle,519.0,No,No
11/29/2022,"Holiday House, LLC",Cracked LP Gas Quick Disconnect Fitting,EQUIPMENT,Vehicle,26.0,No,No
11/23/2022,Marion Body Works Inc.,Tie Rod Clamp Failure,STEERING,Vehicle,6.0,No,No
11/02/2022,"Brenner Tank, LLC",Steering Arm May Fracture,STEERING,Vehicle,3.0,No,No
11/02/2022,Bulk Tank International S. de R.L. de C.,Steering Arm May Fracture,STEERING,Vehicle,2.0,No,No
10/28/2022,"Corp. Micro Bird, Inc.",Power Steering Pressure Line May Detach and Leak,"SERVICE BRAKES, HYDRAULIC",Vehicle,1.0,No,No
10/03/2022,East Texas Trailer,Axle May Crack and Separate,SUSPENSION,Vehicle,3.0,No,No
08/31/2022,Shyft Group,Welds May Be Missing Or Crack In Frame,STRUCTURE,Vehicle,2139.0,No,No
08/04/2022,Blue Bird Body Company,Corrosion May Cause Fuel Line Leak,"FUEL SYSTEM, OTHER",Vehicle,49.0,No,No
08/03/2022,"Kalmar Solutions, LLC",Steering Gear Assembled Incorrectly,STEERING,Vehicle,110.0,No,No
06/06/2022,"Corp. Micro Bird, Inc.",Bracket May Interfere with Seat Belt Pretensioner,SEAT BELTS,Vehicle,3.0,No,No
05/26/2022,"McNeilus Truck & Manufacturing, Inc.",Insufficient Clearance Between Tire and Fender,STRUCTURE,Vehicle,8.0,No,No
